projet_id24;blob_production_id;titre_production;date_production
2;24;"La concertation pour une gestion collective de l’espace de l’île d’Ouessant (29) Mise en oeuvre, évaluation et perspectives";2008-09-11
2;25;"La simulation multi-agents pour l’aide à la gestion d’un territoire sous contraintes";2008-09-11
2;88;"Film introductif du Jeu de Rôles à Océanopolis";2010-02-08
2;91;"Communication orale, conférence MAPS2";2010-04-09
2;109;"En géographie, l’apprentissage par un jeu de rôles";2010-03-01
2;113;"Debriefing JdR Océanopolis";2010-11-15
7;44;"Réunion de lancement / Présentation 1 - INSPIRE";2009-01-16
7;39;"Réunion de lancement / Présentation 2 - Projet";2009-01-16
7;40;"Réunion de lancement / Presentation 3 - Volet 1";2009-01-16
7;41;"Réunion de lancement / Presentation 4 - Volet 2";2009-01-16
7;42;"Réunion de lancement / Presentation 5 - Volet 3";2009-01-16
7;52;"Questionnaire / Consultation SIG";2009-01-26
7;60;"Plan Polmar-Terre du département du Calvados, annexe technique, Atlas de sensibilité du littoral";2009-10-12
7;0;"Plan Polmar-Terre du département de la Manche, annexe technique, Atlas de sensibilité du littoral";2009-07-10
7;61;"Bilan des compétences et des besoins en gestion et mutualisation d’informations géographiques";2009-04-15
7;62;"Liste des textes législatifs impliquant la création de zones réglementées en mer sur la façade Manche – Mer du Nord";2009-09-10
7;67;"Atlas de sensibilité Polmar-Terre du Calvados";2009-12-22
7;68;"Atlas sur la Réglementation Maritime (Basse et Haute Normandie)";2009-11-15
7;74;"Lettre Information MIMEL N°1";2009-11-20
7;83;"Lettre d'information MIMEL n° 2";2010-01-26
7;94;"Atlas sur la Réglementation Maritime (Basse et Haute Normandie) - Version 2";2010-06-15
7;100;"Atlas Polmar MIMEL - Google-Earth";2010-11-01
7;101;"Information Géographique et GIZC Analyse et expérimentation d'un SIG inter-services Mer et Littoral";2010-10-29
7;103;"Atlas de sensibilité du littoral aux pollutions marines, annexe technique du Plan ORSEC du département de la Seine-Maritime, Annexe technique du plan Polmar-Terre";2010-08-31
7;104;"Atlas de sensibilité du littoral aux pollutions marines, plan ORSEC du département du la Manche, annexe technique du PSS POLMAR-TERRE";2010-07-14
7;105;"Atlas de sensibilité du littoral aux pollutions marines, plan ORSEC du département du Calvados, annexe technique du PSS POLMAR-TERRE";2010-07-14
7;106;"Atlas de l’artificialisation du littoral de Seine-Maritime";2010-10-22
9;54;"Comité de suivi de thèse / Présentation 1";2009-01-26
10;130;"Valorisation des données d'observations topo-morphologiques du trait de côte en Bretagne à partir d’une base de données interactive : MADDOG suivi littoral";2010-12-08
11;57;"Inventaire des ouvrages côtiers du Finistère (2008)";2009-03-05
13;0;"Intérêt du couplage SIG/modèle pour la modélisation des activités aquacoles en zone côtière";2008-12-11
15;70;"Poster colloque Liteau";2009-12-01
15;96;"Quels indicateurs pour les services écologiques de la Rade de Brest ?";2010-09-17
15;97;"Annexes, quels indicateurs pour les services écologiques de la Rade de Brest ?";2010-09-17
15;98;"Caractérisation spatiale et quantitative des activités en rade de Brest et synthèse bibliographique des conflits d’usage";2010-09-01
15;132;"Evaluation des services écosystémiques dans la Rade de Brest sous scénario de dommage environnemental";2011-07-08
15;133;"(Présentation) Modélisation du savoir porté par les acteurs d’un système, application aux pêcheurs à la coquille en rade de Brest";2011-07-08
15;134;"Modélisation qualitative des activités anthropiques sur l’écosystème de la coquille st-jacques en rade de brest";2011-07-08
15;135;"Modélisation et scénarisation des activités humaines en rade de Brest";2011-07-08
15;136;"Analyse des interactions entre pratiques";2011-07-08
15;144;"Modélisation du savoir porté par les acteurs d’un système : application aux pêcheurs à la coquille en rade de Brest";2011-09-16
15;155;"Fiche Liteau mi-parcours";2011-11-09
15;159;"(Présentation pédagogique audio) Modélisation du savoir porté par les acteurs d’un système, application aux pêcheurs à la coquille en rade de Brest";2011-11-01
15;164;"(Présentation pédagogique) Modélisation qualitative d’un écosystème  avec le logiciel EcoMata";2011-11-01
15;163;"(Document pédagogique) Modélisation qualitative de l’écosystème de la coquille Saint-Jacques en rade de Brest avec EcoMata";2011-11-01
15;170;"Exploitation de données AIS pour la cartographie du transport maritime";2012-01-01
15;181;"Développement d'un modèle à base d'agents simulant les interactions entre pêche à la drague, les ressources benthiques et les habitats associés";2012-09-04
16;81;"Format de présentation des propositions d'études de cas";2009-10-23
16;82;"Plan de présentation des résultats des études de cas";2010-01-15
16;90;"Recommandations pour le traitement cartographique des résultats des études de cas à grande échelle";2010-02-01
18;116;"Vidéo de démonstration de géoBretagne";2011-02-09
18;122;"Rapport de cadrage stratégique";2011-03-01
18;124;"Compte Rendu du Comité de Pilotage du 29/03/2011";2011-03-29
18;125;"Réunion de rencontre GéoBretagne / Pôle Métier « Mer et Littoral »";2011-02-08
18;126;"Note de démarrage du projet";2010-11-25
18;127;"Cahier des charges";2010-11-15
18;128;"Proposition technique et financière adressée à la Région Bretagne";2010-11-16
18;129;"Compte Rendu du Comité de Suivi du 24/02/2011";2011-02-24
18;143;"Compte-rendu de réunion de conception du portail Mer et Littoral";2011-09-16
22;152;"Guide d'entretien semi-directif habitant COCORISCO";2011-11-06
22;153;"Note technique sur l'entretien de recherche";2011-11-07
22;180;"Diagnostic Territoriaux M1 EGEL Communes COCORISCO";2012-01-02
22;199;"Diaporama Réunion Comité de suivi Cocorisco 21 juin 2012";2012-06-25
23;167;"Présentation du projet à la Fondation de France";2012-01-26
23;174;"Catégories végétales retenues";2012-04-18
23;191;"Lettre d'informations inter-sites";2012-11-21
25;184;"Réponse appel d'offre Quels littoraux pour demain ?";2012-01-02
25;214;"Mobiliser les savoir-faire pour l’analyse spatiale et dynamique des activités et des flux en mer côtière. Application à la Mer d’Iroise ";2013-08-30
26;203;"Livrable phase 1";2013-07-19
26;205;"Présentation des résultats de la phase 1";2013-09-10
26;208;"1er comité de pilotage";2013-04-12
26;209;"Séminaire de présentation des projets innovants UEB";2013-04-16
